"February 22, 2026 - February 28, 2026",,,,,,,,,LW Budget,,,,,,,,,,,,,,,,,,,,,,
Brand,Region,Category,Opportunity Score Only  Split,Max Ad ROI,IS at Max ROI,Spend @ Max Ad OI,Min Spend,Opportunity Score,48000,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 2,9080.192892316103,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 3,1047.4358056709507,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 4,0,Total Spend,Diff from Spend @ Max Ad OI,Opp Score 5,0,Total Spend,Diff from Spend @ Max Ad OI,,Total,Diff from Spend @ Max Ad OI,Final
BP,TEXAS,NB WHEEL ALIGNMENT,1081.8321907633365,5681.86412110544,57,4116.264912688757,0,11.230283061677175,1081.8321907633365,1081.8321907633365,3034.432721925421,11.230283061677175,337.9812821359424,1419.8134728992788,2696.451439789478,11.230283061677175,52.33861020339627,1472.152083102675,2644.112829586082,11.230283061677175,0,1472.152083102675,2644.112829586082,11.230283061677175,0,1472.152083102675,2644.112829586082,,1472.152083102675,2644.112829586082,1472.152083102675
BP,TEXAS,TOTAL,11032.80072157924,92471.82475740975,,33399.83300929411,0,27.76302601827768,11032.80072157924,11032.80072157924,22367.032287714872,,3446.8193544865953,14479.620076065836,18920.212933228275,,533.7625015678675,15013.382577633703,18386.450431660407,,0,15013.382577633703,18386.450431660407,,0,15013.382577633703,18386.450431660407,,15013.382577633705,18386.450431660407,15013.382577633705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP,ALL,TOTAL,47999.99999999999,261497.85558530755,0,92306.38989240638,0,33.27360205503995,38919.8071076839,38919.8071076839,53386.58278472249,,8032.757086645152,46952.564194329054,45353.82569807733,,1047.4358056709507,48000,44306.38989240638,,0,48000,44306.38989240638,,0,48000,44306.38989240638,,48000.00000000001,44306.389892406376,48000.00000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAVIS,GEORGIA,CP,422.57166813852007,27581.165728862932,56,4413.118142104809,0,4.3866317600442395,422.57166813852007,422.57166813852007,3990.5464739662884,4.3866317600442395,132.01799263433531,554.5896607728554,3858.528481331953,4.3866317600442395,20.44384888019961,575.033509653055,3838.0846324517534,4.3866317600442395,0,575.033509653055,3838.0846324517534,4.3866317600442395,0,575.033509653055,3838.0846324517534,,575.033509653055,3838.0846324517534,575.033509653055
MAVIS,GEORGIA,NB AUTO SERVICE,2220.5755804085925,26297.530221754896,58,7026.215597643097,0,23.051349868079487,2220.5755804085925,2220.5755804085925,4805.640017234504,23.051349868079487,693.7425121512623,2914.318092559855,4111.897505083241,23.051349868079487,107.43056152560972,3021.7486540854648,4004.466943557632,23.051349868079487,0,3021.7486540854648,4004.466943557632,23.051349868079487,0,3021.7486540854648,4004.466943557632,,3021.7486540854648,4004.466943557632,3021.7486540854648
MAVIS,GEORGIA,NB BRAKES,2532.2980272787577,6338.2842710223085,59,13685.236137140957,0,26.287278087742163,2532.2980272787577,2532.2980272787577,11152.9381098622,26.287278087742163,791.1294758257233,3323.427503104481,10361.808634036475,26.287278087742163,122.51156926200788,3445.9390723664887,10239.297064774468,26.287278087742163,0,3445.9390723664887,10239.297064774468,26.287278087742163,0,3445.9390723664887,10239.297064774468,,3445.9390723664887,10239.297064774468,3445.9390723664887
MAVIS,GEORGIA,NB TIRE SERVICE,4030.1824588813447,17256.610706688778,57,6038.4999360931015,0,41.83651604183482,4030.1824588813447,4030.1824588813447,2008.3174772117568,41.83651604183482,1259.0919796289213,5289.274438510266,749.2254975828355,41.83651604183482,194.9786210513125,5484.253059561578,554.2468765315234,41.83651604183482,0,5484.253059561578,554.2468765315234,41.83651604183482,0,5484.253059561578,554.2468765315234,,5484.253059561578,554.2468765315234,5484.253059561578
MAVIS,GEORGIA,NB TIRES,591.0005617536335,77141.05933928202,59,49668.718108789195,0,6.135058334158472,591.0005617536335,591.0005617536335,49077.71754703556,6.135058334158472,184.63781103020654,775.63837278384,48893.079736005355,6.135058334158472,28.592371622613715,804.2307444064538,48864.48736438274,6.135058334158472,0,804.2307444064538,48864.48736438274,6.135058334158472,0,804.2307444064538,48864.48736438274,,804.2307444064538,48864.48736438274,804.2307444064538
