Date,Bid Strategy Status,Bid strategy,Bid strategy type,System Status,Account,Campaigns,Currency code,Target CPA,Avg. Target CPA,Actual CPA,Cost / conv.,Cost (Converted currency) / conv.,Cost,Cost (Converted currency),Conversions,Conv. rate,Converted currency code
"February 22, 2026 - February 28, 2026",Enabled,NTB - Virginias - Maximize Conversion - Brand,Maximize Conversions,Limited (budget constrained),NTB,7,USD,4.2,5.11,6.11,6.11,6.11,13857.86,13857.86,2269.16,0.3928,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Illinois 2 - Maximize Conversion Value - Brand,Target ROAS,Inactive,Mavis Tire Express Services MCC,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs 2 - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,3,3,3.25,3.25,3.25,326.51,326.51,100.56,0.2786,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Hudson Valley - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,7,USD,3.5,3.5,3.98,3.98,3.98,15560.77,15560.77,3913.56,0.4419,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Texas - Maximize Conversion - Non Brand - Brakes,Maximize Conversions,Limited (budget constrained),Brakes Plus,1,USD,11,10,11.17,11.17,11.17,6285.88,6285.88,562.83,0.2766,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Gulf States - Maximize Conversions - Competitors,Maximize Conversions,Active,Mavis Discount Tire,4,USD,5,5,5.61,5.61,5.61,1043.82,1043.82,186.15,0.4012,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Illinois 2 - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,4,4.5,5.1,5.1,5.1,4522.98,4522.98,886.44,0.3501,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Carolinas - Maximize Conversion - Non-Brand - Brakes,Maximize Conversions,Active,NTB,1,USD,10,10.4,12.23,12.23,12.23,545.97,545.97,44.63,0.2277,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Southern - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,19,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - PP 0824 - Maximize Conversions - Non-Brand,Maximize Conversions,Inactive,Express Oil Change & Tire Engineers,4,USD,10,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Mississippi - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - Alabama - Maximize Conversion - Competitors,Maximize Conversions,Active,Express Oil Change & Tire Engineers,7,USD,5.2,5.2,6.48,6.48,6.48,1292.61,1292.61,199.34,0.3076,USD
