AE - 02 Ad Group Performance
"January 1, 2025 - July 13, 2026"
Ad group,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
online_0,Lector Workbooks_Religious Books (content),Paused,Removed,Display,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_1,Lector Workbooks_Religious Books (content),Paused,Removed,Display,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
customized_online_0,Lector Workbooks_Religious Books (content),Paused,Removed,Display,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Religious Books,Lector Workbooks_Religious Books (content),Paused,Enabled,Display,All features, --,Lector Workbooks_Religious Books (content),Maximize clicks,0,0, --,0,0, --,0,0, --, --, +0%, --,1,0,155,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Ad Group #1,Campaign #1,Removed,Enabled,Search,Standard, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online,Pope Francis Prayer Cards_Pope Francis Prayer Cards,Removed,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
customized_online,Pope Francis Prayer Cards_Pope Francis Prayer Cards,Removed,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_location,Pope Francis Prayer Cards_Pope Francis Prayer Cards,Removed,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
customized_online_location,Pope Francis Prayer Cards_Pope Francis Prayer Cards,Removed,Removed,Search,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Pope Francis Prayer Cards,Pope Francis Prayer Cards_Pope Francis Prayer Cards,Removed,Enabled,Search,All features, --,Pope Francis Prayer Cards_Pope Francis Prayer Cards,Maximize clicks,0,0,Campaign,0,0, --,0,0, --, --, +0%, --,1,0,76,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
online_0,Pope Francis Prayer Cards_Pope Francis Prayer Cards (content),Removed,Removed,Display,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
customized_online_0,Pope Francis Prayer Cards_Pope Francis Prayer Cards (content),Removed,Removed,Display,All features, --, --,Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Pope Francis Prayer Cards,Pope Francis Prayer Cards_Pope Francis Prayer Cards (content),Removed,Enabled,Display,All features, --,Pope Francis Prayer Cards_Pope Francis Prayer Cards (content),Maximize clicks,0,0, --,0,0, --,0,0, --, --, +0%, --,1,0,66,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Ad group 3,Religious Goods_religious_goods_store,Paused,Paused,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Religious Goods Store,Religious Goods_religious_goods_store (content),Paused,Enabled,Display,All features, --,Religious Goods_religious_goods_store (content),Maximize clicks,0,0, --,0,0, --,0,0, --, --, --, --,1,2,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
All Products,Shopping campaign,Paused,Enabled,Shopping,Shopping ads, --,Shopping campaign - Enhanced CPC,Enhanced CPC,0,0, --,0,0, --,0,0, --, --, +1%, --,1,0,0,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Religious Goods Store,[PAUSED COPY OF] Religious Goods_religious_goods_store,Paused,Enabled,Search,All features, --,enhanced custom click (jc),Enhanced CPC,0,0, --,0,0, --,0,0, --, +10%, +15%, --,4,0,62,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
Religious Goods Store,[Paused_Copy_Of(6-May-2019)]_Religious Goods_religious_goods_store,Paused,Enabled,Search,All features, --,enhanced custom click (jc),Enhanced CPC,0,0, --,0,0, --,0,0, --, +10%, +15%, --,4,0,62,0,0,0,0,USD,0,0.00,0,0,0.00,0,0,0
